name,url,media_id,sum_media_inlink_count,inlink_count,outlink_count,story_count,facebook_share_count,sum_post_count,sum_author_count,sum_channel_count,media_inlink_count,twitter_partisanship,fake_news
indianexpress.com,http://indianexpress.com/,56899,218,242,4,1180,78547,,,,43,"US Center 2019",0
Twitter,http://twitter.com,18346,382,403,5,304,2072,,,,35,"US Center 2019",0
HindustanTimes,http://www.hindustantimes.com/,39872,175,193,2,1188,66437,,,,34,"US Center Right 2019",0
"The Times of India",http://timesofindia.indiatimes.com/,39784,129,142,8,2109,82743,,,,31,"US Center 2019",0
"NDTV.com: India, Business, Bollywood, Cricket, Video and Breaking News",http://www.ndtv.com/,17973,177,191,10,1716,246896,,,,31,"US Center 2019",0
thehindu,http://www.thehindu.com/,40306,96,106,2,1074,28288,,,,26,"US Center 2019",0
indiatoday.intoday.in,http://indiatoday.intoday.in/#spider,67799,84,96,26,960,34000,,,,25,"US Center Left 2019",0
thewire.in,http://thewire.in/,278493,56,60,164,447,62339,,,,23,"US Center Left 2019",0
theprint.in,http://theprint.in/,570336,64,71,58,109,12557,,,,20,"US Center Left 2019",0
newindianexpress.com,http://newindianexpress.com/#spider,100063,34,36,0,1438,5634,,,,20,"US Center 2019",0
livemint.com,http://livemint.com/,56177,33,35,1,147,1058,,,,18,"US Center Right 2019",0
"The Indian Express",http://expressindia.com/,63125,36,48,0,15,2002,,,,17,null,0
CNN,http://www.cnn.com/,1095,22,34,2,6,9871,,,,17,"US Center Left 2019",0
scroll.in,http://scroll.in/,110253,35,37,386,445,5057,,,,17,"US Center Left 2019",0
livelaw.in,http://livelaw.in/,282884,38,45,14,43,5365,,,,16,"US Center Left 2019",0
YouTube,http://www.youtube.com,18362,24,27,0,18,3676,,,,16,"US Center 2019",0
economictimes,https://economictimes.indiatimes.com/,41238,27,30,8,1121,19094,,,,15,null,0
tribuneindia.com,http://tribuneindia.com/,57626,47,49,2,1964,17713,,,,15,"US Center Right 2019",0
"India | Latest India News | Get Free India.com Email | Live Cricket and Entertainment News at India.Com",http://www.india.com/,271589,22,22,2,420,53006,,,,14,"US Center Right 2019",0
aninews.in,http://aninews.in/,282896,18,18,0,13,39,,,,12,"US Center Left 2019",0
outlookindia.com,http://www.outlookindia.com/#spider,69105,14,14,3,48,973,,,,10,"US Center Right 2019",0
"News 18",http://ibnlive.in.com,23248,36,42,20,1090,15208,,,,10,"US Center 2019",0
"Al Jazeera",http://www.aljazeera.com/topics/country/india.html,283464,16,18,0,13,8602,,,,10,"US Center Left 2019",0
barandbench.com,http://barandbench.com/,285226,18,19,0,16,1101,,,,10,null,0
financialexpress,http://www.financialexpress.com/,39886,14,14,8,444,6734,,,,10,"US Center 2019",0
"Business Today",http://www.businesstoday.in/,283382,18,19,8,249,1917,,,,10,"US Center 2019",0
thenewsminute.com,http://thenewsminute.com/,258176,11,11,6,15,3503,,,,9,"US Center Left 2019",0
Reuters,http://www.reuters.com,4442,10,10,0,9,167,,,,9,"US Center 2019",0
altnews.in,http://altnews.in/,415736,25,29,8,15,11369,,,,9,"US Center 2019",0
business-standard.com,http://www.business-standard.com,19341,17,20,2,777,4920,,,,9,"US Center Right 2019",0
deccanherald,http://www.deccanherald.com/,39247,10,11,0,28,188,,,,8,"US Center 2019",0
timesnownews.com,http://timesnownews.com/,537358,14,15,0,14,1294,,,,8,"US Center 2019",0
thequint.com,http://thequint.com/,282811,9,9,9,283,29350,,,,7,"US Center 2019",0
newslaundry.com,http://newslaundry.com/,262590,10,12,46,65,11378,,,,7,"US Right 2019",0
telegraphindia.com,http://telegraphindia.com/,55376,12,13,3,12,979,,,,7,"US Center 2019",0
firstpost.com,http://www.firstpost.com#spider,28777,11,13,252,382,3981,,,,7,"US Center 2019",0
"People's Archive of Rural India consolidated feed",https://ruralindiaonline.org,283435,11,12,3,41,1908,,,,7,null,0
theleaflet.in,http://theleaflet.in/,887332,23,24,10,20,528,,,,6,null,0
nationalheraldindia.com,http://nationalheraldindia.com/,388887,6,8,0,5,122,,,,6,"US Left 2019",0
newsclick.in,http://newsclick.in/#spider,105253,7,9,95,378,14007,,,,6,"US Left 2019",0
freepressjournal.in,http://freepressjournal.in/,136476,6,6,16,620,965,,,,6,null,0
opindia.com,http://opindia.com/,282927,6,6,168,299,68425,,,,6,"US Center 2019",0
"CNBC TV18",http://www.moneycontrol.com/cnbctv18/,271154,9,11,17,301,7761,,,,6,"US Center 2019",0
theindiaforum.in,http://theindiaforum.in/,1280228,6,9,2,1,271,,,,6,null,0
"New York Times",http://nytimes.com,1,8,10,9,11,10377,,,,6,"US Center Left 2019",0
Guardian,http://www.theguardian.com/us,623382,7,7,1,9,31855,,,,5,"US Center Left 2019",0
indiatvnews.com,http://indiatvnews.com/,65449,7,9,0,32,476,,,,5,"US Center Right 2019",0
"Criminal Justice | Change.org",http://criminaljustice.change.org/,6858,8,8,4,6,916,,,,5,"US Center Right 2019",0
Quartz,http://qz.com/#spider,67264,5,5,45,13,523,,,,5,"US Center Left 2019",0
republicworld.com,http://republicworld.com/,561011,21,25,0,109,13817,,,,5,"US Center Left 2019",0
caravanmagazine.in,http://caravanmagazine.in/,259428,7,8,3,8,1685,,,,5,"US Center Left 2019",0
thehindubusinessline.com,http://www.thehindubusinessline.com/#spider,67989,7,10,0,212,3471,,,,5,"US Right 2019",0
BBC,http://www.bbc.co.uk/?ok,1094,4,9,0,3,1463,,,,4,"US Center 2019",0
indiatoday.in,http://indiatoday.in/,282871,7,7,0,7,70,,,,4,"US Center 2019",0
thefederal.com,http://thefederal.com/,1342372,4,5,0,26,150,,,,4,null,0
downtoearth.org.in,http://downtoearth.org.in/,181566,4,4,0,5,830,,,,4,"US Left 2019",0
"Washington Post",http://washingtonpost.com,2,5,5,12,6,371,,,,4,"US Center Left 2019",0
pib.gov.in,http://pib.gov.in/,906101,4,4,0,2,5,,,,4,"US Center Left 2019",0
deccanchronicle.com,http://deccanchronicle.com/,121578,6,7,0,110,749,,,,4,"US Center Left 2019",0
HRW,http://www.hrw.org/,39966,4,5,4,1,862,,,,4,"US Center Left 2019",0
boomlive.in,http://boomlive.in/,283014,7,8,56,125,1831,,,,4,null,0
dnaindia.com,http://dnaindia.com/,65929,8,8,0,276,3067,,,,4,"US Center Right 2019",0
peoplesdispatch.org,http://peoplesdispatch.org/,1200770,4,4,1,3,3160,,,,3,null,0
theweek.in,http://theweek.in/,351980,4,4,0,7,56,,,,3,"US Center Left 2019",0
"Dainik Jagran:Hindi News,Latest News in Hindi,News in Hindi,Hindi News Paper",http://www.jagran.com/,271157,4,4,1,911,6691,,,,3,"US Center 2019",0
indiaspend.com,http://indiaspend.com/,283066,4,5,6,4,60,,,,3,"US Left 2019",0
MSNBC,http://www.msnbc.msn.com/,1149,3,3,1,3,0,,,,3,"US Left 2019",0
abplive.com,http://abplive.com/,1342317,6,7,0,6,41,,,,3,"US Left 2019",0
ndtv.in,http://ndtv.in/,1835594,6,8,8,9,0,,,,2,null,0
avayshukla.blogspot.com,http://avayshukla.blogspot.com/,973750,2,2,0,1,53,,,,2,null,0
vivekkaul.com,http://vivekkaul.com/,1765244,2,3,3,1,613,,,,2,null,0
"Wall Street Journal",https://www.wsj.com/,1150,2,3,0,15,2920,,,,2,"US Center Right 2019",0
lifestyle.livemint.com,http://lifestyle.livemint.com/,1783999,2,2,0,1,94,,,,2,null,0
Wikipedia,http://en.wikipedia.org,18370,2,2,324,2,143,,,,2,"US Center 2019",0
"News - South Africa (English)",http://www.news.co.za/,623419,2,2,0,1,464,,,,2,null,0
"Business Insider",http://www.businessinsider.com,18710,2,2,2,2,751,,,,2,"US Center 2019",0
"Bollywood Hungama",http://www.bollywoodhungama.com/feed/,322896,2,2,0,1,29,,,,2,null,0
Conversation,https://theconversation.com/us,54346,2,2,14,4,133,,,,2,"US Center Left 2019",0
news18.com,http://news18.com/,189910,2,2,0,140,694,,,,2,null,0
business-humanrights.org,http://www.business-humanrights.org/#spider,91768,2,2,0,1,2564,,,,2,null,0
grainmart.in,http://grainmart.in/,1385564,2,2,0,2,20,,,,2,null,0
